Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
101126033051701,BANKNIFTY 30 Mar 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:BANKNIFTY26MARFUT,10,11,51701,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126042866688,BANKNIFTY 28 Apr 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:BANKNIFTY26APRFUT,10,11,66688,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126052666068,BANKNIFTY 26 May 26 FUT,11,30,0.2,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:BANKNIFTY26MAYFUT,10,11,66068,BANKNIFTY,26009,-1.0,XX,101000000026009,None,0,0.0
101126033051712,FINNIFTY 30 Mar 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:FINNIFTY26MARFUT,10,11,51712,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126042866689,FINNIFTY 28 Apr 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:FINNIFTY26APRFUT,10,11,66689,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126052666069,FINNIFTY 26 May 26 FUT,11,60,0.1,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:FINNIFTY26MAYFUT,10,11,66069,FINNIFTY,26037,-1.0,XX,101000000026037,None,0,0.0
101126033051713,MIDCPNIFTY 30 Mar 26 FUT,11,120,0.05,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:MIDCPNIFTY26MARFUT,10,11,51713,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126042866690,MIDCPNIFTY 28 Apr 26 FUT,11,120,0.05,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:MIDCPNIFTY26APRFUT,10,11,66690,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126052666070,MIDCPNIFTY 26 May 26 FUT,11,120,0.05,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:MIDCPNIFTY26MAYFUT,10,11,66070,MIDCPNIFTY,26074,-1.0,XX,101000000026074,None,0,0.0
101126033051714,NIFTY 30 Mar 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-03-20,1774864800,NSE:NIFTY26MARFUT,10,11,51714,NIFTY,26000,-1.0,XX,101000000026000,None,0,0.0
101126042866691,NIFTY 28 Apr 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-03-20,1777370400,NSE:NIFTY26APRFUT,10,11,66691,NIFTY,26000,-1.0,XX,101000000026000,None,0,0.0
101126052666071,NIFTY 26 May 26 FUT,11,65,0.1,,0915-1530|1815-1915:,2026-03-20,1779789600,NSE:NIFTY26MAYFUT,10,11,66071,NIFTY,26000,-1.0,XX,101000000026000,None,0,0.0
